Year,Province,CropYield
2022,Hue,50.49242424242424
1995,Long_An,31.18821000921093
1996,Long_An,31.812550498249394
1997,Long_An,33.126835781041386
1998,Long_An,35.003749062734315
1999,Long_An,34.51495920217589
2000,Long_An,34.723019201059365
2001,Long_An,36.88364708550692
2002,Long_An,40.124624971151626
2003,Long_An,41.80146191935864
2004,Long_An,43.901707429626214
2005,Long_An,45.05474027486606
2006,Long_An,40.84487534626039
2007,Long_An,45.53221288515407
2008,Long_An,47.66083150984683
2009,Long_An,46.56169111302847
2010,Long_An,48.92379537253237
2011,Long_An,52.67864518793887
2012,Long_An,53.31265012009607
2013,Long_An,53.365548607163156
2014,Long_An,55.09630200308166
2015,Long_An,55.81755593803787
2016,Long_An,53.13234736442928
2017,Long_An,50.184165559141825
2018,Long_An,54.81322120086055
2019,Long_An,54.80742642701955
2020,Long_An,56.311181854357336
2021,Long_An,57.21885390181889
2022,Long_An,56.19917501473188
1995,Tien_Giang,44.248050501299666
1996,Tien_Giang,43.793718772305496
1997,Tien_Giang,45.71181156910288
1998,Tien_Giang,46.88809946714032
1999,Tien_Giang,45.45041899441341
2000,Tien_Giang,46.0729461756374
2001,Tien_Giang,46.63527707352408
2002,Tien_Giang,48.50188679245283
2003,Tien_Giang,48.61963190184049
2004,Tien_Giang,50.70547417116423
2005,Tien_Giang,51.73481540293767
2006,Tien_Giang,49.00322841000807
2007,Tien_Giang,52.94570502431118
2008,Tien_Giang,53.94038383013475
2009,Tien_Giang,53.08441558441558
2010,Tien_Giang,54.122950819672134
2011,Tien_Giang,55.11993382961125
2012,Tien_Giang,56.75227837613919
2013,Tien_Giang,57.245331069609506
2014,Tien_Giang,59.42324371205551
2015,Tien_Giang,59.83088562527815
2016,Tien_Giang,58.84454756380511
2017,Tien_Giang,59.264705882352935
2018,Tien_Giang,62.31992051664182
2019,Tien_Giang,60.9386869234943
2020,Tien_Giang,58.911764705882355
2021,Tien_Giang,63.39651250947687
2022,Tien_Giang,62.157153446997775
1995,Ben_Tre,34.44444444444444
1996,Ben_Tre,36.10030706243603
1997,Ben_Tre,32.30769230769231
1998,Ben_Tre,33.57142857142857
1999,Ben_Tre,32.34421364985163
2000,Ben_Tre,35.167322834645674
2001,Ben_Tre,37.6686507936508
2002,Ben_Tre,39.367469879518076
2003,Ben_Tre,39.89528795811518
2004,Ben_Tre,40.67403314917127
2005,Ben_Tre,40.88622754491018
2006,Ben_Tre,40.6479217603912
